genome_file	taxid
GCF_000005845.2_ASM584v2_genomic.fna.gz	511145
GCF_000006605.1_ASM660v1_genomic.fna.gz	306537
GCF_000006685.1_ASM668v1_genomic.fna.gz	243161
GCF_000006765.1_ASM676v1_genomic.fna.gz	208964
GCF_000006825.1_ASM682v1_genomic.fna.gz	272843
GCF_000006925.2_ASM692v2_genomic.fna.gz	198214
GCF_000006945.2_ASM694v2_genomic.fna.gz	99287
GCF_000006985.1_ASM698v1_genomic.fna.gz	194439
GCF_000007025.1_ASM702v1_genomic.fna.gz	272944
GCF_000007065.1_ASM706v1_genomic.fna.gz	192952
GCF_000007085.1_ASM708v1_genomic.fna.gz	273068
GCF_000007105.1_ASM710v1_genomic.fna.gz	264203
GCF_000007125.1_ASM712v1_genomic.fna.gz	224914
GCF_000007185.1_ASM718v1_genomic.fna.gz	190192
GCF_000007205.1_ASM720v1_genomic.fna.gz	182082
GCF_000007225.1_ASM722v1_genomic.fna.gz	178306
GCF_000007245.1_ASM724v1_genomic.fna.gz	183190
GCF_000007345.1_ASM734v1_genomic.fna.gz	188937
GCF_000007505.1_ASM750v1_genomic.fna.gz	204722
GCF_000007605.1_ASM760v1_genomic.fna.gz	227941
GCF_000007725.1_ASM772v1_genomic.fna.gz	224915
GCF_000007745.1_ASM774v1_genomic.fna.gz	221988
GCF_000007765.2_ASM776v2_genomic.fna.gz	227377
GCF_000007805.1_ASM780v1_genomic.fna.gz	223283
GCF_000007905.1_ASM790v1_genomic.fna.gz	235279
GCF_000007925.1_ASM792v1_genomic.fna.gz	167539
GCF_000007985.2_ASM798v2_genomic.fna.gz	243231
GCF_000008185.1_ASM818v1_genomic.fna.gz	243275
GCF_000008265.1_ASM826v1_genomic.fna.gz	263820
GCF_000008305.1_ASM830v1_genomic.fna.gz	265311
GCF_000008325.1_ASM832v1_genomic.fna.gz	243233
GCF_000008365.1_ASM836v1_genomic.fna.gz	267748
GCF_000008385.1_ASM838v1_genomic.fna.gz	292805
GCF_000008445.1_ASM844v1_genomic.fna.gz	261594
GCF_000008465.1_ASM846v1_genomic.fna.gz	283942
GCF_000008625.1_ASM862v1_genomic.fna.gz	224324
GCF_000008645.1_ASM864v1_genomic.fna.gz	187420
GCF_000008725.1_ASM872v1_genomic.fna.gz	272561
GCF_000008865.2_ASM886v2_genomic.fna.gz	386585
GCF_000009045.1_ASM904v1_genomic.fna.gz	224308
GCF_000009085.1_ASM908v1_genomic.fna.gz	192222
GCF_000009145.1_ASM914v1_genomic.fna.gz	228410
GCF_000009185.1_ASM918v1_genomic.fna.gz	362976
GCF_000009305.1_ASM930v1_genomic.fna.gz	382638
GCF_000009365.1_ASM936v1_genomic.fna.gz	393595
GCF_000009765.2_ASM976v2_genomic.fna.gz	227882
GCF_000009785.1_ASM978v1_genomic.fna.gz	235909
GCF_000009805.1_ASM980v1_genomic.fna.gz	247156
GCF_000009905.1_ASM990v1_genomic.fna.gz	292459
GCF_000009945.1_ASM994v1_genomic.fna.gz	264202
GCF_000009965.1_ASM996v1_genomic.fna.gz	69014
GCF_000009985.1_ASM998v1_genomic.fna.gz	342108
GCF_000010205.1_ASM1020v1_genomic.fna.gz	334380
GCF_000010265.1_ASM1026v1_genomic.fna.gz	583346
GCF_000010305.1_ASM1030v1_genomic.fna.gz	379066
GCF_000010405.1_ASM1040v1_genomic.fna.gz	412965
GCF_000010505.1_ASM1050v1_genomic.fna.gz	431947
GCF_000010525.1_ASM1052v1_genomic.fna.gz	438753
GCF_000010605.1_ASM1060v1_genomic.fna.gz	455632
GCF_000010665.1_ASM1066v1_genomic.fna.gz	573370
GCF_000010985.1_ASM1098v1_genomic.fna.gz	639282
GCF_000011005.1_ASM1100v1_genomic.fna.gz	304371
GCF_000011085.1_ASM1108v1_genomic.fna.gz	272569
GCF_000011105.1_ASM1110v1_genomic.fna.gz	70601
GCF_000011125.1_ASM1112v1_genomic.fna.gz	272557
GCF_000011145.1_ASM1114v1_genomic.fna.gz	272558
GCF_000011185.1_ASM1118v1_genomic.fna.gz	273116
GCF_000011205.1_ASM1120v1_genomic.fna.gz	273063
GCF_000011225.1_ASM1122v1_genomic.fna.gz	272633
GCF_000011245.1_ASM1124v1_genomic.fna.gz	221109
GCF_000011305.1_ASM1130v1_genomic.fna.gz	196164
GCF_000011345.1_ASM1134v1_genomic.fna.gz	197221
GCF_000011385.1_ASM1138v1_genomic.fna.gz	251221
GCF_000011565.2_ASM1156v2_genomic.fna.gz	264201
GCF_000011745.1_ASM1174v1_genomic.fna.gz	291272
GCF_000011965.2_ASM1196v2_genomic.fna.gz	246200
GCF_000012085.2_ASM1208v2_genomic.fna.gz	314724
GCF_000012305.1_ASM1230v1_genomic.fna.gz	259536
GCF_000012325.1_ASM1232v1_genomic.fna.gz	167879
GCF_000012345.1_ASM1234v1_genomic.fna.gz	335992
GCF_000012485.1_ASM1248v1_genomic.fna.gz	319225
GCF_000012565.1_ASM1256v1_genomic.fna.gz	269484
GCF_000012665.1_ASM1266v1_genomic.fna.gz	207559
GCF_000012685.1_ASM1268v1_genomic.fna.gz	246197
GCF_000012725.1_ASM1272v1_genomic.fna.gz	323098
GCF_000012765.1_ASM1276v1_genomic.fna.gz	340047
GCF_000012805.1_ASM1280v1_genomic.fna.gz	323261
GCF_000012865.1_ASM1286v1_genomic.fna.gz	246194
GCF_000012885.1_ASM1288v1_genomic.fna.gz	338963
GCF_000012925.1_ASM1292v1_genomic.fna.gz	269799
GCF_000012945.1_ASM1294v1_genomic.fna.gz	482957
GCF_000012965.1_ASM1296v1_genomic.fna.gz	326298
GCF_000012985.1_ASM1298v1_genomic.fna.gz	349521
GCF_000013025.1_ASM1302v1_genomic.fna.gz	228405
